Filename,Description,Tags
photo-01-small.jpg,Eclipse crescent and plane,sky
photo-02-small.jpg,Mockingbird on wire,bird
photo-03-small.jpg,Museum mirror reflecting,art
photo-04-small.jpg,Wrapped marble busts in storage,art
photo-05-small.jpg,Tattered flag with sun,sky
photo-06-small.jpg,Mourning dove on fountain,bird
photo-07-small.jpg,Hanging mirrored art,art
photo-08-small.jpg,Small boat low tide,
photo-09-small.jpg,Ancient Rome temple columns,
photo-10-small.jpg,Architecture steel,art
photo-11-small.jpg,Owen and blossoms,nature
photo-12-small.jpg,Colorful umbrellas overhead,"art,sky"
photo-13-small.jpg,Cactus spines close-up,nature
photo-14-small.jpg,Eclipse crescent through clouds,sky
photo-15-small.jpg,Honeybee on clover,nature
photo-16-small.jpg,Bumblebee on catmint,nature
photo-17-small.jpg,Duckling swimming,"bird,nature"
photo-18-small.jpg,Sparrow in branches,"bird,nature"
photo-19-small.jpg,Village at dusk,sky
photo-20-small.jpg,Alpaca portrait,nature
photo-21-small.jpg,Sesame,
photo-22-small.jpg,Swan honking,"bird,nature"
photo-23-small.jpg,Torn flag,sky
photo-24-small.jpg,Wildfire haze,sky
photo-25-small.jpg,Brick building in wildfire haze,"city,sky"
photo-26-small.jpg,Daisies wildfire haze,"nature,sky"
photo-27-small.jpg,Table saw blade close-up,art
photo-28-small.jpg,Fluffy poodle,
photo-29-small.jpg,Mirrored cube light art,art
photo-30-small.jpg,Double-exposed market sign,"city,SelfDeveloped"
photo-31-small.jpg,Double-exposed booksellers,"city,SelfDeveloped"
photo-32-small.jpg,Double-exposed fire escape,"city,SelfDeveloped"
photo-33-small.jpg,Double-exposed kitchen,SelfDeveloped
photo-34-small.jpg,Double-exposed sunflower,"nature,SelfDeveloped"
photo-35-small.jpg,Protesters with umbrellas,city
photo-36-small.jpg,Crowd under cherry blossoms,city
photo-37-small.jpg,Starling on railing,bird
photo-38-small.jpg,Duck by the water,"bird,nature"
photo-39-small.jpg,Boston Loves You banner,city
photo-40-small.jpg,Robin,"bird,nature"
photo-41-small.jpg,Double-exposed horse,"city,SelfDeveloped"
photo-42-small.jpg,Double-exposed South Boston sign,"city,SelfDeveloped"
photo-43-small.jpg,Mount Greylock tower,sky
photo-44-small.jpg,Pink tulips,nature
photo-45-small.jpg,Pigeon,bird
photo-46-small.jpg,Boston skyline,"city,sky"
photo-47-small.jpg,Model rocket with parachute,
photo-48-small.jpg,Tulips,nature
photo-49-small.jpg,Grainy photo of blossoms,"nature,SelfDeveloped"
photo-50-small.jpg,Alpine flowers,"nature,sky"
photo-51-small.jpg,Prudential Tower,city
photo-52-small.jpg,Bridge cables against sky,"city,sky,SelfDeveloped"
photo-53-small.jpg,Steel overpass,"city,SelfDeveloped"
photo-54-small.jpg,Telegraph Hill bar,"city,SelfDeveloped"
photo-55-small.jpg,Sunlit high-rise facade,"city,sky"
photo-56-small.jpg,"Harp sculpture, cherry blossoms","art,nature"
photo-57-small.jpg,Noto Cathedral facade,"art,sky"
photo-58-small.jpg,Colorful lights,art
photo-59-small.jpg,Colorful lights 2,art
photo-60-small.jpg,Purple flowers,nature
photo-61-small.jpg,White star flowers,nature
photo-62-small.jpg,Glass skyscraper,"city,sky"
photo-63-small.jpg,Palms,nature
photo-64-small.jpg,Forest view at dusk,"nature,sky"
photo-65-small.jpg,Trail sign,nature
photo-66-small.jpg,Cactus close-up,nature
photo-67-small.jpg,Sesame in film grain,SelfDeveloped
photo-68-small.jpg,Hoods Milk,"sky,city,SelfDeveloped"
photo-69-small.jpg,Double-exposed Zakim Bridge,"city,SelfDeveloped"
photo-70-small.jpg,Double-exposed Road Closed sign,"city,SelfDeveloped"
photo-71-small.jpg,Alpine flower cluster close-up,nature
photo-72-small.jpg,Cherry blossoms against sky,"nature,sky,SelfDeveloped"
photo-73-small.jpg,Person on stone stairs,people
photo-74-small.jpg,People jumping off boat,people
photo-75-small.jpg,Etna volcano smoking,"nature,sky"
photo-76-small.jpg,Hiking portrait on volcano,people
photo-77-small.jpg,Etna crater venting smoke,"nature,sky"
photo-78-small.jpg,Barnacle-covered boat hull,nature
photo-79-small.jpg,Double-exposed city skyline,"city,SelfDeveloped"
photo-80-small.jpg,Turtles basking on rock,nature
photo-81-small.jpg,Friend in garden overalls,people
photo-82-small.jpg,Three turtles close-up,nature
photo-83-small.jpg,Cherry blossoms close-up,nature
photo-84-small.jpg,Pigeons on rooftop,"bird,city"
photo-85-small.jpg,Boat hull detail,nature
photo-86-small.jpg,Self-portrait in car mirror,"people,SelfDeveloped"
photo-87-small.jpg,Self-portrait with camera,"people,SelfDeveloped"
photo-88-small.jpg,Tree branches sky,"nature,sky,SelfDeveloped"
